MARKET,DOMAIN,CDN,C. UNICOM(%),C. TELECOM(%),C.MOBILE(%),AVAILABILITY(%),STATUS,DAILY REMARKS,Update status,Remarks,Status,Availability Threshold,,Date & Time filtering,
China Retail,ms8527.com,CF,,,,0,OK,,Domain blocked: ms5723.com | 7/21/25,,Healthy,?80,,Start,1/1/2026 21:00
,446776.com,INCAP,,,,0,OK,,TECH-91153 | Replaced 03.07.24 | Low Availability  msbnnp.com,,Critical,<80,,End,1/2/2026 21:00
,473088.com,Imperva,,,,0,OK,,Low availability: agsiww.articander.biz | 11/06/2025 | TECH-129554,,,,,,
,ms6347.com,CF,,,,0,OK,,TECH-132688 | Low availability: ms9304.com | 02/11/26,,,,,,
,ms8elr.com,INCAP,,,,0,OK,,TECH-107782 Replaced | Low availability - ms6013.com 10-16-2024,,,,,,
,namqoc.ms8wdi.com:21343,MTVERSE,,,,0,OK,,TECH-107807 Replaced | Low availability - ywrjtk.36hamsap.com 10-16-2024,,,,,,
,m88ign.com,CF,,,,0,OK,,TECH-131613 | low availability: m88pun.com | 01/09/2026,,,,,,
,m88jqb.com,CF,,,,0,OK,,TECH-131434 | Low availability: m88jqb.com | Replaced on: 1/4/2026,,,,,,
,msclip.com,CF,,,,0,OK,,TECH-116175 | Low Availability  Domain : msdeyt.com 2/24/25,,,,,,
,ms8631.com,CF,,,,0,OK,,DM-10943 | Blocked Domain: msxbms.com Replaced 6/22/2025,CN Helpsite Redirection Domain#2,,,,,
M88 - CHINA VIP,msbbha.com,CF,,,,0,OK,,Low availability: msawlk.com | 11/06/2025 | TECH-129554,,,,,,
,msdlqw.com,INCAP,,,,0,OK,,TECH-100093 Replaced | ms8psl.com 7-04-2024,,,,,,
,thrfex.msghuf.com:9943,MTVERSE,,,,0,OK,,TECH-127282 Replaced | Low availability - doytlk.ms6248.com:9943 |9/18/25,,,,,,
,huakmp.ms8tyl.com,MTVERSE,,,,0,OK,,new entry as per request on 04.22.24,,,,,,
,ms1204.com,CF,,,,0,OK,,TECH-127075 | Low availability: ms7283.com | 9/14/2025,,,,,,
,453374.com,CF,,,,0,OK,,TECH-110543 | Replaced poisoned domain : msflow.net 11/24/2024,,,,,,
,846994.com,INCAP,,,,0,OK,,TECH-107107 | Replaced 10.6.2024 | Low Availability - ms6452.com,,,,,,
,msonsj.com,CF,,,,0,OK,,replaced msseya.com | TECH-121903 6/10/2025,,,,,,
,mshike.com,CF,,,,0,OK,,TECH-120100 | replaced Low availability: msjust.com 5/8/2025,,,,,,
,ms8193.com,CF,,,,0,OK,,TECH-124407 | replaced Domain blocked: ms5852.com 7/28/25,,,,,,
,rnsdgu.ms0149.com:21343,MTVERSE,,,,0,OK,,TECH-119036  replaced Low availability: gnhtqu.roundifer.com 4/19/2025,,,,,,
M88APP Native App Primary Server ,ms0129.com,CF,,,,0,OK,,TECH-126545 | Low availability: ms2005.com | 9/5/2025,,,,,,
M88APP Native App Backup Server,msvgum.com,CF,,,,0,OK,,TECH-124621 Replaced | Govt. Blocking - ms8950.com 8/1/2025,,,,,,
M88APP Native App - Android,mobileresource.rk258.com/native/m88-app/config/android-china.json,CF,,,,0,OK,,TECH-107114 | New entry in NB for CN mobile app monitoring,,,,,,
M88 Native App for IOS - Download Link,ha.idown.app/m88.html,CF,,,,0,OK,,TECH-51282| replaced on 09.25.22,,,,,,
CN - M88 AFFILIATE,msdtfr.com,CF,,,,0,OK,,TECH-126258 | Blocked: mstezp.com | 9/2/2025,,,,,,
,mswgdg.com,CF,,,,0,OK,,TECH-124560 Replaced | Low availability - ms1820.com 7/31/2025,,,,,,
,ms9574.com,CF,,,,0,OK,,TECH-117221 Replaced | mscsno.com  3-17-2024,,,,,,
,ms1994.com,CF,,,,0,OK,,TECH-118518 Replaced | Blocked Domain - 416516.com 4-8-2025,,,,,,
CHINA - ACQ,ms3916.com,CF,,,,0,OK,,"TECHSD-812
Low availability: ms0321.com Replaced:ms3916.com | 03/16/2026",,,,,,
,ms1023.com,CF,,,,0,OK,,,,,,,,
CHINA - CEO,aiwanms88.com,CF,,,,0,OK,,TECH-121500 | Replaced Domain blocked: wantiyu88.com | 6/4/2025,,,,,,
M88 Help Sites ,m88helpinfo.com,MSFT,,,,0,OK,,TECH-28475 | Monitored since 10.28.21,,,,,,
,m88help.com,MSFT,,,,0,OK,,TECH-28475 | Monitored since B 10.28.21 | Advised no need to replace domain,,,,,,
,m88help.net,GODAD,,,,0,OK,,TECH-28475 | Monitored since 10.28.21,,,,,,
,m88services.com,MSFT,,,,0,OK,,new entry 02.27.24 via skype request from domain team,CN Helpsite landing page,,,,,
,mhelp88.com,MSFT,,,,0,OK,,new entry 02.27.24 via skype request from domain team,CN Helpsite Redirection Domain#1,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
MARKET,DOMAIN,CDN,AVAILABILITY(%),STATUS,DAILY REMARKS,,,,TECH-39151 | replaced on 3/23/2022,,,,,,
M88 Native App for IOS - Download Link,ha.idown.app/m88/index.html,CF,,OK,,,,,TECH-87346 | replaced on 01.17.24| replaced domain: https://mobileresource.ymiom88.com/native/m88-app/download/mobile.html,,,,,,
M88 All-in-one Native App - Android,mobileresource.278945.com/native/m88-app/config/android.json,CF,,OK,,,,,,,,,,,
M88APP Native App Primary Server ,ms9702.com,CF,,OK,,,,,TECH-92212 | Low Availability Domain : msslnse.com 3.21.24,,,,,,
M88APP Native App Backup Server,msawqr.com,INCAP,,OK,,,,,TECH-131613 | low availability:ms8club.com | 01/09/2026 ,,,,,,
M88 - VIET,ms8kk.com,CF,,OK,,,,,"TECH-28613 | replaced on 11.1.21			",,,,,,
,remitvn.com,CF,,OK,,,,,TECH-22238 |added entry on NB 04.30.21 (backup for eurocup),,,,,,
,ms1006.com,INCAP,,OK,,,,,TECH-131303 | Low availability: msstgr.com | 12/29/25,,,,,,
,253375.com,CF,,OK,,,,,Replaced m88khv.com | TECH-95001,,,,,,
,ms8kah.com,CF,,OK,,,,,TECH-51386 | added entry on NB 10.25.22 | Disregard 0% availability as per domain team,,,,,,
,mspart.net,CF,,OK,,,,,TECH-132688 | Low availability: ringspeaf.org | 02/11/26 ,,,,,,
,mstjhw.com,CF,,OK,,,,,TECH-102694 Replaced | cmbm88.com 8.4.2024,,,,,,
,ms8yes.com,CF,,OK,,,,,TECH-102694 Replaced | cmbm88.com 8.4.2024,,,,,,
